  13  43  44  31  34  41  43  38  14  47  33  24  47  21  40  40  13  43  33  12  11  42  45  14  37  14  44  18  43  49  10  11  13  10  38  22  36  41  45  40  10  13  13  22  21  48  38  16  30  33  38  39  23  12  17  17  48  23  11  16  39  24  40  42  27  18  49  46  26  47  12  23  15  47  19  43  22  25  10  30  14  45  27  18  24  19  32  27  17  37  49  33  20  25  29  33  41  14  35  28
  32  46  43  22  10  13  12  45  32  28  43  42  10  32  38  34  42  20  30  11  21  45  17  14  14  29  32  33  16  39  12  39  21  42  19  22  30  37  25  29  16  31  12  16  32  42  31  11  36  18  29  34  17  46  47  28  14  24  46  27  29  36  49  27  20  48  47  38  37  30  42  49  48  26  10  45  21  23  23  20  15  19  46  12  27  21  41  29  49  13  21  15  10  18  31  21  35  23  13  29
  14  22  21  15  36  39  30  40  46  18  15  27  39  26  10  17  25  32  14  21  19  33  28  49  24  30  15  36  38  43  40  41  23  43  29  34  34  16  30  46  44  42  42  33  10  18  18  11  31  30  37  33  22  36  38  37  46  47  39  27  23  22  35  46  19  20  28  37  25  44  19  28  14  10  35  17  12  31  44  21  17  11  22  30  14  37  47  46  44  33  13  34  49  10  18  32  40  35  41  42
  16  49  16  24  41  44  40  24  26  22  28  12  37  16  47  49  49  31  42  28  45  17  26  14  34  44  18  22  32  19  15  26  22  35  26  10  25  19  13  43  20  28  24  16  24  40  30  40  41  31  14  31  20  49  48  31  33  41  38  46  35  23  19  13  24  36  16  12  19  21  27  21  12  49  19  44  18  40  49  46  34  28  27  19  45  32  33  33  39  17  17  22  49  28  10  20  31  18  31  43
  48  28  16  13  41  37  31  33  44  40  10  26  24  35  13  34  30  14  36  46  20  10  18  16  32  19  29  35  41  12  16  33  47  45  20  15  28  33  30  47  24  18  18  28  18  38  19  40  18  11  32  25  40  43  27  29  16  26  11  11  32  48  31  36  33  14  35  32  15  15  49  20  12  20  45  47  27  28  14  20  35  26  26  45  31  35  36  46  42  36  39  31  25  40  43  20  26  37  30  33
  45  23  41  48  21  16  18  16  34  16  30  15  24  12  48  38  32  36  19  26  39  16  36  31  40  33  23  37  17  19  34  46  39  48  45  20  20  46  40  36  29  21  14  25  43  29  29  32  26  44  24  47  20  48  36  23  49  30  43  20  44  23  39  37  13  28  13  40  47  39  46  24  22  41  45  36  18  24  46  48  19  23  45  16  23  10  17  22  19  20  40  18  21  34  13  44  31  36  23  24
  32  45  44  27  43  35  20  16  29  22  31  44  17  43  15  26  33  30  46  16  37  47  31  41  46  28  31  26  38  39  22  40  34  25  31  43  34  37  32  15  38  35  34  47  49  35  37  45  17  19  49  20  38  23  13  34  21  23  12  15  34  43  48  38  33  27  43  37  33  10  45  12  29  24  39  35  15  28  44  10  32  18  48  44  28  25  29  31  24  28  43  46  47  14  34  29  13  17  39  48
  24  40  27  18  40  25  46  12  36  17  38  47  40  44  30  10  22  16  36  34  33  44  38  34  48  33  39  40  25  20  34  29  25  28  49  13  31  32  49  36  41  22  24  31  42  26  26  13  12  49  43  26  39  44  38  47  45  13  26  20  32  35  11  28  13  11  41  23  39  46  22  14  28  25  11  31  26  18  27  48  31  38  48  45  49  28  30  14  33  23  18  31  17  24  11  33  35  49  42  12
  21  13  42  29  27  10  23  44  49  46  22  29  35  14  30  25  27  20  23  36  19  41  27  13  13  45  31  40  12  27  34  46  46  36  42  27  10  38  46  49  14  46  19  35  25  24  35  18  42  26  46  46  16  31  46  24  22  42  49  20  26  17  28  36  17  15  15  38  36  21  47  43  25  13  32  15  36  22  43  12  30  22  27  16  37  13  34  23  31  41  28  12  48  29  28  39  26  12  30  45

